run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,k_vol,gamma,gamma_inv_scale,gamma_vol_scale,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl
d4e77509,-1.5650021652600117,-1.6676911887366932,-0.046793105099054204,0.24493249281599258,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.1,0.6
dd967a39,-1.5278540672006784,-1.6392914744235951,-0.048162685093255435,0.23564746648360094,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.05,0.6
bbe68511,-1.6701288883123198,-1.7676753974225587,-0.046291906450572996,0.23597371280401905,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.05,1.0
b45e2b6a,-1.6270869307263638,-1.7524372338585241,-0.04724452211429692,0.27605489554773976,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.05,0.8
02aa6bd8,-1.6571014216824551,-1.7754267764037248,-0.04586400617415813,0.26374212421125587,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.1,0.8
d7057912,-1.6272685356361762,-1.6933297471921196,-0.04676574961312342,0.2145113612073615,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.1,1.0
6bef83f3,-1.7867017842090718,-1.819979064407381,-0.0453041122980601,0.2061089379140145,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.05,0.4
d54dc622,-1.7410214009087213,-1.7976300763250828,-0.04579104579635525,0.23634361862167239,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.1,0.4
27d92871,-1.714181706223826,-1.7674897368916247,-0.04628414413349651,0.19994983960079682,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.2,1.0
ebb52c64,-1.5257198865001556,-1.654953727908531,-0.045683445053262876,0.25024071145084126,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.05,0.6
2908673e,-1.634798299144677,-1.7290789842384537,-0.043398096909659956,0.2290027853436276,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.05,0.4
3ffd6398,-1.5914096661344956,-1.7300731804062752,-0.04653672228774349,0.28156625313558353,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.2,0.8
ce219e80,-1.7027917306186282,-1.776920011518768,-0.048867006866968696,0.21957390360646759,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.05,1.0
dc1f071a,-1.6657172693012399,-1.7633938584934352,-0.047384985603050954,0.2589381674361902,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.2,0.6
a35659d5,-1.7449347995006974,-1.801367386854197,-0.045846793777182225,0.22977553437497344,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.2,0.4
26c36d88,-1.6209068476764514,-1.745324908819153,-0.049879897360954516,0.28524969127559685,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.05,0.8
939bdb82,-1.751103235723349,-1.794451998222477,-0.047728053120227466,0.21674910371797734,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.1,0.6
d37b0d2d,-1.7969861668643716,-1.8083227014766694,-0.04556106371244074,0.19096385536939792,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.1,0.4
d70b56af,-1.6818954381651565,-1.7673616251920088,-0.046307362800263444,0.22989253214158614,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.1,0.8
f745140d,-1.6636028306402295,-1.7731127768814436,-0.04936720026121283,0.2535530592493119,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.1,1.0
df1364a3,-1.7483506492462766,-1.8210215138970969,-0.04661645555037988,0.2542709732099122,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.2,0.4
fb8be887,-1.6122888352747395,-1.703393651379195,-0.04880996313547893,0.22271237646369985,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.2,0.6
aea8a488,-1.6373115047626925,-1.719902145448054,-0.045882776188524946,0.2221705361127177,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.2,0.8
d9c6b37a,-1.705623237457985,-1.775135346470259,-0.04918678660864333,0.22011259735894537,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.2,1.0
092a871d,-1.6187199597334256,-1.7432992631512136,-0.04708394744357137,0.26260291955052917,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.05,0.6
ee074207,-1.6900646999438322,-1.7833753248594422,-0.04884223530057659,0.26428194029051066,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.05,1.0
ff93edeb,-1.7591963770555594,-1.8378328147836416,-0.04746399529977769,0.25944801494047837,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.05,0.4
edea11bc,-1.6438058315470698,-1.7582711436243836,-0.0475534156522813,0.2721346074687156,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.05,0.8
ad47e111,-1.5831117377456394,-1.6942498036052498,-0.045094574005443346,0.25803357026997514,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,0.4
9d5c6694,-1.649053908438873,-1.763642541447392,-0.04469168595582156,0.2738783628528024,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,0.6
a618e4e4,-1.633164381100869,-1.757737805252377,-0.04563014882788242,0.2719017278931154,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,0.8
10544c47,-1.674819853697045,-1.7615918616951072,-0.047037792006180745,0.23259668576724726,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,1.0
18e31b0f,-1.8238980866317434,-1.8388409866304742,-0.05015347679692836,0.20558765323329317,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.4
10cb5f05,-1.6363508457598073,-1.6864055023018156,-0.04848930600662032,0.19049021639005403,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.6
866784ca,-1.7544218132352398,-1.8106931525145282,-0.04932908700307302,0.22981414190090046,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.8
842d2a1f,-1.6575658424644644,-1.7562812760693356,-0.04638798239612285,0.2435085122513741,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,1.0
2e7d4dc7,-1.5687338754960365,-1.708437483563957,-0.048643271509855174,0.28814258329977277,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,0.6
1798bef0,-1.7050881762479548,-1.7814480176972107,-0.04878540486074191,0.2635909387046058,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,0.4
bbb2d0e0,-1.6685496324025735,-1.751837548920852,-0.04693206999530396,0.22995318742442855,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,1.0
e65aeb77,-1.782417320931927,-1.8030677587175967,-0.0473828575185502,0.20703638839272634,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,0.8
bd08006b,-1.599136132554122,-1.68617815404595,-0.04710959919699606,0.23134605376579334,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.1,0.6
1e58bd1d,-1.6563628782896558,-1.749722291563986,-0.04713800021489362,0.2395911951889693,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.1,0.8
9d5ca9e0,-1.629480059073103,-1.75851454907493,-0.04659094542320655,0.30615621183813657,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.1,0.4
4b495b09,-1.7087536548915523,-1.824788745698391,-0.04950044980111407,0.29639530456821517,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.1,1.0
d81cdb2d,-1.7674514360733156,-1.8240720527779357,-0.047822093445113505,0.23878974030948538,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.2,0.4
72531e77,-1.6038061208873842,-1.6852913698288512,-0.046112802624266286,0.21376558268328721,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.2,0.6
53eab3b3,-1.639879506717989,-1.7565279426084508,-0.047443858505955186,0.2575842678860686,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.2,0.8
9ac799c2,-1.7264143429729302,-1.7940669748964513,-0.049037470807849794,0.23989167127690178,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.2,1.0
2c3ab6ef,-1.5366223780783912,-1.6686524691845144,-0.05068933753692566,0.26514907633572127,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.05,0.6
52827558,-1.6679539212818781,-1.7554817161143454,-0.04876957456471914,0.23215463090199095,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.05,0.8
4c09aeea,-1.72503725297247,-1.747398096183124,-0.04724274033872113,0.19577223721096498,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.05,0.4
54da3e69,-1.7068664246744447,-1.7852066873383903,-0.04848548277128658,0.21972466164591772,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.1,0.8
7a068c68,-1.6374893633310421,-1.7359575162722174,-0.04607569423249254,0.2223367548016532,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.1,0.6
221c8ca8,-1.6211573050368315,-1.7180240228389239,-0.045320427972679767,0.24108896649391848,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.05,1.0
2b2c22d0,-1.7168865267994988,-1.8137516241390512,-0.04797587705793725,0.27553650640626887,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.1,0.4
2dac6ef2,-1.6557759812276345,-1.6863137825076853,-0.049178220725079366,0.18548301969984107,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.1,1.0
407de2d5,-1.5631600181459362,-1.6618142632262405,-0.04679553370583172,0.23865894517718225,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.2,0.6
f8e17070,-1.6549086078539403,-1.7407693777564592,-0.047245761057772374,0.22059916621728862,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.2,0.8
9ccd3bb2,-1.7869969380590192,-1.7897050113284056,-0.047849471343105174,0.17727859436813295,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.2,0.4
4eae488f,-1.7483098641805555,-1.8051731090539513,-0.04789818735395953,0.2301607498254225,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.05,0.4
0cbf9362,-1.6600043973685388,-1.7215524963814974,-0.04608456669595537,0.19832962575190854,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.2,1.0
710b1460,-1.7159400774835376,-1.8090313153620927,-0.04505621290137623,0.26664586785298405,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.05,0.6
28d55b41,-1.7494464158953633,-1.806307584670075,-0.04635145321529656,0.23409033138262778,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.05,0.8
0c9479ab,-1.613079214363097,-1.7245920396601957,-0.043487600879200144,0.2582549632301833,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.05,1.0
69983937,-1.6459860131144524,-1.7307138717525141,-0.04933131794203095,0.22514112139263825,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.1,0.6
10ebab00,-1.7579271449176304,-1.8163385904676577,-0.047624587979168166,0.23971074554013475,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.1,0.4
6d24c8e6,-1.6154189947137638,-1.7140792535218898,-0.04730035224679777,0.24338492562994038,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.1,1.0
aac5955b,-1.647375485752491,-1.7494692998399801,-0.04748273449559584,0.2466434674689502,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.1,0.8
4dc82c4e,-1.7538207519955904,-1.8023543348463216,-0.04536604862458881,0.22508245699107793,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.2,0.4
83eba8cd,-1.5444701040214568,-1.6488447271798283,-0.04859659250756508,0.2190560543692997,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.2,0.6
8224cc9c,-1.6704642937274912,-1.7821577217032858,-0.05106842650015479,0.2632197717661317,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.2,0.8
21b06248,-1.5782262693519442,-1.681222644792145,-0.04764298476287777,0.2563573850297229,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.2,1.0
e9c19916,-1.5921186728592147,-1.7094532988881919,-0.048880542912823406,0.270320593336103,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.05,0.6
22f37e1a,-1.7203059377443424,-1.8262428756956637,-0.04760041039509374,0.278062599019934,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.05,0.4
76bf1b77,-1.5552526740011672,-1.7112512859313072,-0.046946429460595435,0.28293619795082314,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.05,1.0
a7c8a8bc,-1.8221437691427127,-1.8495454494011014,-0.04859565909414699,0.2086227638215732,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.05,0.8
acf37e11,-1.6253319933257444,-1.7536020669919852,-0.04880573527492094,0.2676323471920647,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.1,1.0
77cff27f,-1.546102510397759,-1.689758914976195,-0.049835593012787165,0.2988645460624987,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.1,0.8
e32b216e,-1.6756157324361993,-1.8093135819520356,-0.04690868909661716,0.3116463067039032,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.1,0.4
b624a0a1,-1.5919622518431424,-1.6792897043625505,-0.04797285585862582,0.2335744448105323,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.1,0.6
b57e529f,-1.6375227686803555,-1.704609800477997,-0.04989754371160907,0.21016493436390066,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.2,0.6
d17c78f4,-1.7200060101004055,-1.7960163737773833,-0.04547173477900451,0.2526545138594698,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.2,0.4
58f12268,-1.778268964317249,-1.7953576796843824,-0.0482739677780643,0.1955359424285944,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.2,1.0
c8f4c831,-1.7595820722326607,-1.818861392487906,-0.044307934802351366,0.23354344821636935,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.2,0.8
6431bf12,-1.7158396743216144,-1.7543727868879488,-0.04950593840217494,0.18865343250250532,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.05,0.8
f4986cfa,-1.6070320426260878,-1.7023767141528559,-0.050191806333191404,0.24738496905022145,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.05,1.0
0d8d6497,-1.5555913208809216,-1.6576329109854642,-0.048051279694652296,0.21702545978357984,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.05,0.6
89ed3fe3,-1.8016066918335127,-1.846905222331431,-0.05036287212281441,0.23909428900189356,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.05,0.4
02ae356e,-1.7432986278890894,-1.8093675338752075,-0.05080460895648454,0.2584058607373544,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.1,0.4
1f2fba7e,-1.5349119422990043,-1.6766171239253962,-0.04633611162390728,0.2769621746406236,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.1,0.6
e1d03cd2,-1.6007337335504417,-1.7002250252019027,-0.04988983054819545,0.23761615583467113,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.1,1.0
53a405a5,-1.6697713000758085,-1.7473826332421218,-0.046611577529760514,0.2215858737481748,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.1,0.8
fcc1fdfe,-1.604820207976445,-1.7259625556574139,-0.04762139085262852,0.2679722595346987,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.2,0.8
88604ec3,-1.6072864291545557,-1.6996834452325704,-0.045038595235938665,0.23770777887485345,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.2,0.6
2214d100,-1.6403792155178962,-1.7444429356028934,-0.04966016723880243,0.25289874604722307,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.2,1.0
8ee9a86f,-1.7210268686521886,-1.790555157184054,-0.04943614472939008,0.23043300473953954,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.2,0.4
c79ba907,-1.7122719866929401,-1.778104070347922,-0.048306285901762856,0.24517673057456502,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.05,0.4
e9fb0c54,-1.7160793554394331,-1.7825520200189684,-0.04783852695364862,0.2331141786811188,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.05,1.0
835171f2,-1.6161665460440418,-1.7036077619704606,-0.04673583296483594,0.235989338805558,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.05,0.8
a02a458c,-1.5699611882009776,-1.710230171161176,-0.0495576644711807,0.2750103512916958,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.05,0.6
b25db7db,-1.6660498045857821,-1.740173169638312,-0.04372612642987188,0.24518560784013624,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.1,0.4
09389b69,-1.576390621434257,-1.7042318715217226,-0.04973893893533572,0.2678625806417857,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.1,0.6
5faa26f1,-1.573373404738959,-1.710607843095862,-0.04879873461264492,0.28601433045215424,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.1,1.0
79e93078,-1.6955026587602333,-1.7765325957863372,-0.050600206408452045,0.23232978052425926,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.1,0.8
429754c7,-1.6602001968567492,-1.7346303872091202,-0.045100018204506855,0.21776566034685,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.2,0.8
5fa3e7e8,-1.535858527298842,-1.6585707504469367,-0.04696556887636277,0.26442015001109925,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.2,0.6
3f9a5d38,-1.7979929245793755,-1.8075741652477286,-0.046685725255736645,0.18747095556140025,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.2,0.4
18a6740e,-1.734791191178374,-1.781074746271817,-0.04749123357886556,0.22929050362465817,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.2,1.0
9d83e67d,-3.4195416709262645,-3.515734281313414,-0.09370973707245174,0.4143773917208655,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.05,0.6
68c14b38,-3.5272743188834284,-3.684777909313444,-0.09572946229572118,0.5203996716000786,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.05,1.0
19c325a6,-3.6305055812063074,-3.6469727756535857,-0.09748823033621586,0.37106562530353754,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.05,0.8
8d01bce0,-3.5056968642129505,-3.613000984957047,-0.11528113570266646,0.4936484086074933,1,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.05,0.4
f864ddb9,-3.369686796107999,-3.5399079297694973,-0.09557696829076692,0.4908696794099176,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.1,0.6
4f23cc35,-3.3419074323173845,-3.5370760587423096,-0.09212279887208374,0.5019925023019662,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.1,1.0
33af1201,-3.5325197129277512,-3.673796627039507,-0.10489645914005097,0.5382984656867271,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.1,0.8
4b19bd3f,-3.4614685887718224,-3.5884662527825237,-0.09038297744782853,0.5000987235532044,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.1,0.4
96e88059,-3.3716541096964647,-3.553985854552995,-0.09488956545562957,0.5294236491681998,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.2,0.6
eb65c043,-3.382689120429859,-3.623668402733889,-0.09184430218380281,0.5873237157994392,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.2,0.4
7d745ba4,-3.013010116199439,-3.313902954440499,-0.08848726260517176,0.5400996264923437,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.2,0.8
05754080,-3.4289235311716766,-3.598451234124405,-0.09699822224933306,0.5186927435625989,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.2,1.0
faa37f0e,-3.439646931097741,-3.4917716782336607,-0.0911929189623403,0.38758245807701863,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.05,0.6
65e3ea8c,-3.663661795455482,-3.6889907513589746,-0.09161052155389748,0.4078042049038298,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.05,1.0
9a2673bc,-3.2046798819992546,-3.463970284763616,-0.09564937471181334,0.53951228581691,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.05,0.8
43756178,-3.1085557151964167,-3.29100968297618,-0.09252884044813423,0.42625463361823623,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.1,0.6
b3a2ffb7,-3.522490800214655,-3.6383088365514684,-0.11481434802763124,0.4974633736592905,1,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.05,0.4
69225ce1,-3.616915597320258,-3.62286862179948,-0.09760105286587413,0.3741041522012865,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.1,0.4
509f5564,-3.4288079742837,-3.64751778561648,-0.10034839586770102,0.5807680271746778,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.1,0.8
cea662fd,-3.519842182589855,-3.5703480757695663,-0.09329913773243362,0.4144071127680395,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.1,1.0
eb2ce4a2,-3.5412637042754795,-3.692498380398339,-0.09785399499200821,0.5153773785236858,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.2,0.8
bb45e537,-3.554413927751739,-3.623395158487469,-0.09907360816435289,0.44085119454502175,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.2,0.4
96ad8af6,-3.457050665489078,-3.596444559376885,-0.09541985550444584,0.5050314122628728,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.2,1.0
b7b72cd3,-3.2903656009511906,-3.473349961254907,-0.09678017120814594,0.4949014134054031,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.2,0.6
45362e2d,-3.6073204531294323,-3.6546245835013322,-0.1547998315267033,0.4840468035818546,1,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.05,0.4
2a52d100,-3.0898359963975963,-3.317727473750972,-0.097171635795412,0.5152384292268994,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.05,0.6
af012104,-3.284568738139569,-3.4582480707017744,-0.09835168078013333,0.45051558789791296,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.05,0.8
87f6110d,-3.481208611277907,-3.561723975671703,-0.09587143173970317,0.44684266071597356,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.05,1.0
86333cf8,-3.582213675552339,-3.6168745216718117,-0.09676781145721101,0.42586522420146733,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.1,0.4
006436c6,-3.4601999232654634,-3.6080319078696323,-0.09539566308257592,0.4904136512891964,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.1,0.8
3ea0b6ce,-3.552597487512685,-3.642929098783895,-0.09764291838886575,0.4714512691486232,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.1,0.6
869ae7f8,-3.448203183210353,-3.5057562916757834,-0.0953488994315382,0.39438567628150334,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.2,0.8
08a79cde,-3.467965107753116,-3.594046649861225,-0.09796515829236238,0.5136119302126955,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.2,0.4
